leading_item_id,following_item_id,value
ELQGMQWE,KFQSHBNH,9908039
UGEQLMXM,VBYCLTYZ,367271
QVLMOEYE,VBYCLTYZ,363123
UIFPPCLR,UXSPKBJR,449918
DBWLZWNK,VBYCLTYZ,364705
XIFHSOWQ,VWMBASNE,105937
UGEQLMXM,OGAFEHLU,40517
VBYCLTYZ,UXSPKBJR,447352
VMAQSTJE,KEUWZRKO,373107
VWMBASNE,WBLJNPZQ,169422
VBYCLTYZ,IGDVVKUD,37547
SDWAYPIK,OGAFEHLU,39585
BTMOEMEP,UXSPKBJR,444460
DBWLZWNK,QVLMOEYE,1115337
DNMPSKTB,LRVGFDFM,3367910
ATLDMDBO,LRVGFDFM,3367910
WBLJNPZQ,QRKRBYJL,2670705
WBLJNPZQ,ATLDMDBO,35906309
WBLJNPZQ,LRVGFDFM,3754233
UIFPPCLR,GYHKIVQT,18938037
QVLMOEYE,UXSPKBJR,444460
XIIEJNEE,QVLMOEYE,1118431
BTMOEMEP,DBWLZWNK,191678
XIFHSOWQ,SAHWCZNH,2083060
SAHWCZNH,KEUWZRKO,368774
LSOIUSXD,VUAFAIYJ,734004
IGDVVKUD,VBYCLTYZ,366295
APQGTRMF,UIFPPCLR,92608
XIIEJNEE,VBYCLTYZ,367799
JERHKLYW,QKXNTIIB,2595288
MIRCVAMV,CCLHWFWF,13526523
PLMZALFA,LUENUFGA,3850053
ELQGMQWE,FQCLOEXA,1713493
OGAFEHLU,DBWLZWNK,198486
UXSPKBJR,IGDVVKUD,39463
DNMPSKTB,OGAFEHLU,42978
LRVGFDFM,OGAFEHLU,42978
LSOIUSXD,QVLMOEYE,1117903
DBWLZWNK,ANWUJOKX,48976
VWMBASNE,XIPPENFQ,112743
XUOIQPFL,OXKURKXR,114990
LUENUFGA,XIFHSOWQ,90734
VBYCLTYZ,BTMOEMEP,11056002
BSRMSVTC,LUENUFGA,3846665
EVBVXETX,WPQXWHYO,12253715
ANWUJOKX,QVLMOEYE,1120261
GIKPEWTY,CCLHWFWF,13616908
WBLJNPZQ,PYZMVUWD,41360
ELQGMQWE,AANGBULD,310163
ELQGMQWE,ZKENOUDA,350102
AHMDUILJ,DUCMGGNW,851733
BSRMSVTC,XUOIQPFL,2834706
KEUWZRKO,XIFHSOWQ,90734
UXSPKBJR,WQMVCOEM,80630
WBLJNPZQ,JPBRUTWP,5506417
HXYSSRXE,BSRMSVTC,318980
WPQXWHYO,RJGPVEXX,607112
XUOIQPFL,OGAFEHLU,44633
XUOIQPFL,LRVGFDFM,3576457
LPHPPJUG,DDEXPPXU,5762
TANNMIMB,VWMBASNE,112193
KFQSHBNH,RJCAXSGH,4687223
BSRMSVTC,OGAFEHLU,39585
UGEQLMXM,LSOIUSXD,268252
VMAQSTJE,PYZMVUWD,36803
QJQJSWFU,SDWAYPIK,5075185
BSRMSVTC,UIFPPCLR,89095
XIIEJNEE,ROACSLMG,2182647
BSRMSVTC,JBVHSUWY,330377
HXYSSRXE,RAWUKQMJ,3751772
LRVGFDFM,XUOIQPFL,2757776
HXYSSRXE,JPBRUTWP,5426897
OXKURKXR,LTOYKIML,357522
VBYCLTYZ,APQGTRMF,50414
UIFPPCLR,ANWUJOKX,40517
AXULOHBQ,BJALXPFS,135951
APQGTRMF,JPBRUTWP,5433879
QSDCUCLB,OGAFEHLU,40517
KFQSHBNH,ELQGMQWE,610052
RJCAXSGH,ELQGMQWE,610052
RJCAXSGH,KFQSHBNH,9916216
UGEQLMXM,QVLMOEYE,1117903
VBYCLTYZ,BLANHGYY,54044
RJGPVEXX,AANGBULD,310163
BSRMSVTC,XIFHSOWQ,91037
EVBVXETX,IGDVVKUD,39463
SAHWCZNH,XIFHSOWQ,90734
BTMOEMEP,ANWUJOKX,44633
LRVGFDFM,UGEQLMXM,218146
ELQGMQWE,RJCAXSGH,4690910
UGEQLMXM,BTMOEMEP,11196006
LUENUFGA,SAHWCZNH,2077074
XIIEJNEE,BUZIIBYG,15983857
QVLMOEYE,RCBZUSIM,36939
BEZYMBBT,DBWLZWNK,191678
EVBVXETX,KJNSOAHR,14047437
OGAFEHLU,LRVGFDFM,3777588
BJALXPFS,DNMPSKTB,5332693
BTMOEMEP,UGEQLMXM,218565
LRVGFDFM,IGDVVKUD,39463
UIFPPCLR,VBYCLTYZ,367271
