leading_item_id,following_item_id,value
RJCAXSGH,KFQSHBNH,8477484
QSDCUCLB,IGDVVKUD,6181
KFQSHBNH,RJCAXSGH,4769126
QRKRBYJL,QVLMOEYE,1014981
XUOIQPFL,QVLMOEYE,1019503
QRKRBYJL,DNMPSKTB,4972241
QVLMOEYE,DNMPSKTB,4997680
ATLDMDBO,QRKRBYJL,2396654
ZKENOUDA,DEWLVASR,318458
VBYCLTYZ,DNMPSKTB,4983422
OGAFEHLU,QVLMOEYE,1024397
QRKRBYJL,ATLDMDBO,36897502
LRVGFDFM,QVLMOEYE,1014264
ZGJXVMNI,ZKENOUDA,302524
ATLDMDBO,GYHKIVQT,17118728
XUOIQPFL,SDWAYPIK,5253057
UGEQLMXM,QVLMOEYE,1018507
ATLDMDBO,DNMPSKTB,4994699
QVLMOEYE,QRKRBYJL,2381335
ATLDMDBO,AXULOHBQ,57602
VBYCLTYZ,QVLMOEYE,1014591
QVLMOEYE,AXULOHBQ,60252
XIFHSOWQ,XIPPENFQ,81108
VWMBASNE,MIRCVAMV,5681
OGAFEHLU,QRKRBYJL,2441301
DEWLVASR,KFQSHBNH,8429005
DNMPSKTB,QVLMOEYE,1019046
QRKRBYJL,AXULOHBQ,60252
VBYCLTYZ,ATLDMDBO,36580988
QRKRBYJL,GYHKIVQT,17063725
SDWAYPIK,QVLMOEYE,1019767
DNMPSKTB,QRKRBYJL,2405354
QVLMOEYE,HXYSSRXE,4704018
SAHWCZNH,XIFHSOWQ,85253
UGEQLMXM,SDWAYPIK,5250192
SDWAYPIK,GYHKIVQT,17152228
FDXPMYGF,XIFHSOWQ,78906
BLANHGYY,OGAFEHLU,1
DNMPSKTB,GYHKIVQT,17147773
XIFHSOWQ,MIRCVAMV,5226
SAHWCZNH,LUENUFGA,3540196
DEWLVASR,RJCAXSGH,4744242
VBYCLTYZ,QRKRBYJL,2382895
AXULOHBQ,LUENUFGA,3568682
GYHKIVQT,EVBVXETX,4913686
VBYCLTYZ,HXYSSRXE,4701741
OGAFEHLU,GYHKIVQT,17169882
ATLDMDBO,QVLMOEYE,1021213
KFQSHBNH,ZXERAXWP,16134
AANGBULD,RJCAXSGH,4692989
DNMPSKTB,SDWAYPIK,5260675
VWMBASNE,CCLHWFWF,10772048
GYHKIVQT,ZKENOUDA,316994
QRKRBYJL,SDWAYPIK,5237522
FDXPMYGF,PLMZALFA,1
DNMPSKTB,OKMBFVKS,1699631
DNMPSKTB,OGAFEHLU,2
BTMOEMEP,ATLDMDBO,36734207
UGEQLMXM,VBYCLTYZ,342000
LRVGFDFM,IGDVVKUD,5957
XUOIQPFL,QRKRBYJL,2406437
XIPPENFQ,MIRCVAMV,5591
QVLMOEYE,FDXPMYGF,2962
QRKRBYJL,VBYCLTYZ,339565
OGAFEHLU,VBYCLTYZ,339161
XUOIQPFL,OGAFEHLU,3
BTMOEMEP,HXYSSRXE,4689851
VWMBASNE,WBLJNPZQ,144361
SDWAYPIK,ZKENOUDA,317154
AANGBULD,ZCELVYQU,17882
QRKRBYJL,HXYSSRXE,4678650
SAHWCZNH,WPQXWHYO,9989043
XIFHSOWQ,VWMBASNE,100141
LRVGFDFM,VBYCLTYZ,341887
SDWAYPIK,QRKRBYJL,2408144
BTMOEMEP,QVLMOEYE,1019503
IGDVVKUD,ANWUJOKX,1
BLANHGYY,PLMZALFA,1
VUAFAIYJ,RJCAXSGH,4752319
SDWAYPIK,ATLDMDBO,37042325
ZCELVYQU,KFQSHBNH,8400616
OGAFEHLU,ATLDMDBO,36804686
JPBRUTWP,GYHKIVQT,17197383
VUAFAIYJ,LSOIUSXD,105878
SDWAYPIK,XUOIQPFL,2497583
ZKENOUDA,KFQSHBNH,8463220
ATLDMDBO,BTMOEMEP,9359832
OGAFEHLU,UGEQLMXM,39987
JPBRUTWP,QVLMOEYE,1023259
XUOIQPFL,UGEQLMXM,39935
XUOIQPFL,JPBRUTWP,5408061
UGEQLMXM,ANWUJOKX,1
DNMPSKTB,ATLDMDBO,37182130
ATLDMDBO,JPBRUTWP,5401538
AXULOHBQ,XIFHSOWQ,85489
SDWAYPIK,DNMPSKTB,4986221
RCBZUSIM,AXULOHBQ,66305
AXULOHBQ,SAHWCZNH,2201728
ZKENOUDA,RJCAXSGH,4779913
VBYCLTYZ,GYHKIVQT,17198724
BLANHGYY,KEUWZRKO,301345
KEUWZRKO,XIFHSOWQ,85844
EVBVXETX,WPQXWHYO,10029460
ELQGMQWE,KFQSHBNH,8449346
VUAFAIYJ,KFQSHBNH,8443503
LRVGFDFM,JPBRUTWP,5403131
LUENUFGA,XIFHSOWQ,85305
BTMOEMEP,RCBZUSIM,9775
JPBRUTWP,ATLDMDBO,37066315
ATLDMDBO,SDWAYPIK,5279398
LRVGFDFM,QRKRBYJL,2378398
QVLMOEYE,ATLDMDBO,37188607
PLMZALFA,XIPPENFQ,86240
PLMZALFA,XIFHSOWQ,86163
DEWLVASR,ZXERAXWP,17524
UGEQLMXM,QRKRBYJL,2411796
LSOIUSXD,WBLJNPZQ,149448
UXSPKBJR,HXYSSRXE,4710618
BTMOEMEP,QRKRBYJL,2378398
ATLDMDBO,RAWUKQMJ,3764899
AANGBULD,DEWLVASR,325155
BTMOEMEP,DNMPSKTB,5014137
QSDCUCLB,VBYCLTYZ,335149
ATLDMDBO,VBYCLTYZ,340174
DEWLVASR,ZKENOUDA,304626
ATLDMDBO,ZGJXVMNI,2674466
VBYCLTYZ,SDWAYPIK,5266631
UXSPKBJR,RCBZUSIM,9909
QRKRBYJL,JPBRUTWP,5401681
XUOIQPFL,ANWUJOKX,2
ZGJXVMNI,DEWLVASR,322821
AXULOHBQ,KEUWZRKO,301392
LUENUFGA,XIPPENFQ,86048
CCLHWFWF,VWMBASNE,96884
QVLMOEYE,XUOIQPFL,2501761
LRVGFDFM,OGAFEHLU,2
DNMPSKTB,UGEQLMXM,39586
OGAFEHLU,VWMBASNE,96590
LUENUFGA,MIRCVAMV,5939
BSRMSVTC,XIFHSOWQ,84791
XUOIQPFL,VBYCLTYZ,340063
NAQIHUKZ,ZCELVYQU,18021
LRVGFDFM,SDWAYPIK,5279940
IGDVVKUD,BTMOEMEP,9325155
LRVGFDFM,UGEQLMXM,38876
DNMPSKTB,JPBRUTWP,5432353
DNMPSKTB,ZGJXVMNI,2674547
ZKENOUDA,GYHKIVQT,17165273
XUOIQPFL,LRVGFDFM,6900420
GYHKIVQT,SDWAYPIK,5258174
LLHREMKS,ZCELVYQU,17525
IGDVVKUD,BLANHGYY,5468
XUOIQPFL,DNMPSKTB,4987099
JPBRUTWP,WBLJNPZQ,148673
QVLMOEYE,VBYCLTYZ,337018
AXULOHBQ,RJGPVEXX,511563
RJCAXSGH,AANGBULD,375435
ZKENOUDA,ZCELVYQU,18079
UXSPKBJR,ATLDMDBO,37017476
IGDVVKUD,HXYSSRXE,4718792
XIFHSOWQ,LUENUFGA,3572760
GYHKIVQT,DNMPSKTB,4995309
ZGJXVMNI,GYHKIVQT,17154218
ELQGMQWE,FQCLOEXA,1678146
QVLMOEYE,SDWAYPIK,5263649
DNMPSKTB,ZKENOUDA,317133
DBWLZWNK,QVLMOEYE,1018522
SDWAYPIK,VBYCLTYZ,339912
AXULOHBQ,OGAFEHLU,1
FQCLOEXA,EVBVXETX,4842898
SDWAYPIK,JPBRUTWP,5432353
BSRMSVTC,OGAFEHLU,2
ZGJXVMNI,SDWAYPIK,5330601
AXULOHBQ,PLMZALFA,1
VBYCLTYZ,AXULOHBQ,70317
ATLDMDBO,HXYSSRXE,4735345
QVLMOEYE,RCBZUSIM,10049
PLMZALFA,TANNMIMB,2
UGEQLMXM,GYHKIVQT,17223590
HXYSSRXE,EVBVXETX,4909896
LRVGFDFM,ATLDMDBO,37285418
OGAFEHLU,SDWAYPIK,5283765
VBYCLTYZ,APQGTRMF,10087
CCLHWFWF,VUAFAIYJ,732567
QVLMOEYE,WBLJNPZQ,149185
DNMPSKTB,XUOIQPFL,2503514
RJCAXSGH,ZXERAXWP,17410
EVBVXETX,ATLDMDBO,37015036
XIIEJNEE,UXSPKBJR,384770
JPBRUTWP,QRKRBYJL,2390254
BTMOEMEP,JPBRUTWP,5427523
QRKRBYJL,BTMOEMEP,9273557
UGEQLMXM,ATLDMDBO,36714922
PLMZALFA,VWMBASNE,96926
ZKENOUDA,KJNSOAHR,10271094
XIIEJNEE,QVLMOEYE,1016487
GYHKIVQT,ZGJXVMNI,2674547
AANGBULD,ZKENOUDA,305523
