leading_item_id,following_item_id,value
RJCAXSGH,KFQSHBNH,9051615
QSDCUCLB,IGDVVKUD,5463
KFQSHBNH,RJCAXSGH,4736634
QRKRBYJL,QVLMOEYE,1073097
XUOIQPFL,QVLMOEYE,1073097
QRKRBYJL,DNMPSKTB,5022913
XIIEJNEE,ANWUJOKX,1
QVLMOEYE,DNMPSKTB,5022913
ATLDMDBO,QRKRBYJL,2779202
VBYCLTYZ,DNMPSKTB,5022754
ZKENOUDA,DEWLVASR,320909
OGAFEHLU,QVLMOEYE,1041258
IGDVVKUD,DJBLNPNC,121
QRKRBYJL,ATLDMDBO,31756216
LRVGFDFM,QVLMOEYE,1073097
ZGJXVMNI,ZKENOUDA,296408
JSLXRQOK,NAQIHUKZ,1
ATLDMDBO,GYHKIVQT,15483155
XUOIQPFL,SDWAYPIK,5172157
UGEQLMXM,QVLMOEYE,1073224
ATLDMDBO,DNMPSKTB,5022913
QVLMOEYE,QRKRBYJL,2776248
ATLDMDBO,AXULOHBQ,73899
VBYCLTYZ,QVLMOEYE,1053001
QVLMOEYE,AXULOHBQ,75270
XIFHSOWQ,XIPPENFQ,79823
XIIEJNEE,BTMOEMEP,8402185
VWMBASNE,MIRCVAMV,12614
OGAFEHLU,QRKRBYJL,2695807
DEWLVASR,KFQSHBNH,9051615
DNMPSKTB,QVLMOEYE,1073097
QRKRBYJL,AXULOHBQ,75270
VBYCLTYZ,ATLDMDBO,31189206
SDWAYPIK,QVLMOEYE,1073097
QRKRBYJL,GYHKIVQT,15483155
DNMPSKTB,QRKRBYJL,2779202
QVLMOEYE,HXYSSRXE,4827372
SDWAYPIK,GYHKIVQT,15483155
SAHWCZNH,XIFHSOWQ,43471
UGEQLMXM,SDWAYPIK,5166638
VBYCLTYZ,BTMOEMEP,8632951
FDXPMYGF,XIFHSOWQ,39930
FDXPMYGF,OGAFEHLU,1
BLANHGYY,OGAFEHLU,1
DNMPSKTB,GYHKIVQT,15483155
XIFHSOWQ,MIRCVAMV,9438
SAHWCZNH,LUENUFGA,3814868
DEWLVASR,RJCAXSGH,4736634
VBYCLTYZ,QRKRBYJL,2779112
BLANHGYY,FDXPMYGF,2190
AXULOHBQ,LUENUFGA,3668848
GYHKIVQT,EVBVXETX,4973895
VBYCLTYZ,HXYSSRXE,4825244
OGAFEHLU,GYHKIVQT,15023557
ATLDMDBO,QVLMOEYE,1073097
KFQSHBNH,ZXERAXWP,16960
UGEQLMXM,BTMOEMEP,8776456
DNMPSKTB,SDWAYPIK,5172157
AANGBULD,RJCAXSGH,4509778
VWMBASNE,CCLHWFWF,11088978
GYHKIVQT,ZKENOUDA,309002
QRKRBYJL,SDWAYPIK,5172157
FDXPMYGF,PLMZALFA,1
DNMPSKTB,OKMBFVKS,1755216
DNMPSKTB,OGAFEHLU,2
UGEQLMXM,IGDVVKUD,6381
BTMOEMEP,ATLDMDBO,31756164
PLMZALFA,QSDCUCLB,1
UGEQLMXM,VBYCLTYZ,303665
LRVGFDFM,IGDVVKUD,5531
XUOIQPFL,QRKRBYJL,2779202
XIPPENFQ,MIRCVAMV,13151
QVLMOEYE,FDXPMYGF,2440
QRKRBYJL,VBYCLTYZ,303611
OGAFEHLU,VBYCLTYZ,289299
XUOIQPFL,OGAFEHLU,2
BTMOEMEP,HXYSSRXE,4825395
VWMBASNE,WBLJNPZQ,135709
UGEQLMXM,DJBLNPNC,125
SDWAYPIK,ZKENOUDA,309002
AANGBULD,ZCELVYQU,37549
QRKRBYJL,HXYSSRXE,4827376
SAHWCZNH,WPQXWHYO,10357884
XIFHSOWQ,VWMBASNE,112433
LRVGFDFM,VBYCLTYZ,303611
SDWAYPIK,QRKRBYJL,2779202
BTMOEMEP,QVLMOEYE,1073097
VBYCLTYZ,FDXPMYGF,2324
IGDVVKUD,ANWUJOKX,1
BLANHGYY,PLMZALFA,1
VUAFAIYJ,RJCAXSGH,4736634
SDWAYPIK,ATLDMDBO,31756216
ZCELVYQU,KFQSHBNH,9047884
OGAFEHLU,ATLDMDBO,31350991
JPBRUTWP,GYHKIVQT,15483155
VUAFAIYJ,LSOIUSXD,144875
SDWAYPIK,XUOIQPFL,2606674
ZKENOUDA,KFQSHBNH,9051615
ATLDMDBO,BTMOEMEP,8790460
OGAFEHLU,UGEQLMXM,85541
JPBRUTWP,QVLMOEYE,1073097
XUOIQPFL,UGEQLMXM,90700
XUOIQPFL,JPBRUTWP,5376146
UGEQLMXM,ANWUJOKX,2
