leading_item_id,following_item_id,value
ELQGMQWE,KFQSHBNH,9340638
UGEQLMXM,VBYCLTYZ,356857
QVLMOEYE,VBYCLTYZ,353751
UIFPPCLR,UXSPKBJR,453550
DBWLZWNK,VBYCLTYZ,352359
XIFHSOWQ,VWMBASNE,106513
UGEQLMXM,OGAFEHLU,31001
VBYCLTYZ,UXSPKBJR,448613
VMAQSTJE,KEUWZRKO,329837
VWMBASNE,WBLJNPZQ,192552
VBYCLTYZ,IGDVVKUD,20222
SDWAYPIK,OGAFEHLU,31386
BTMOEMEP,UXSPKBJR,449567
DBWLZWNK,QVLMOEYE,1183154
DNMPSKTB,LRVGFDFM,4721782
ATLDMDBO,LRVGFDFM,4721782
WBLJNPZQ,QRKRBYJL,2792377
WBLJNPZQ,ATLDMDBO,32730859
WBLJNPZQ,LRVGFDFM,4994450
UIFPPCLR,GYHKIVQT,20322984
QVLMOEYE,UXSPKBJR,449567
XIIEJNEE,QVLMOEYE,1190345
BTMOEMEP,DBWLZWNK,169783
XIFHSOWQ,SAHWCZNH,2092980
SAHWCZNH,KEUWZRKO,330535
LSOIUSXD,VUAFAIYJ,859652
IGDVVKUD,VBYCLTYZ,352615
APQGTRMF,UIFPPCLR,89815
XIIEJNEE,VBYCLTYZ,359550
JERHKLYW,QKXNTIIB,3681523
MIRCVAMV,CCLHWFWF,16357474
PLMZALFA,LUENUFGA,3858831
ELQGMQWE,FQCLOEXA,2069261
OGAFEHLU,DBWLZWNK,170773
UXSPKBJR,IGDVVKUD,22192
DNMPSKTB,OGAFEHLU,31386
LRVGFDFM,OGAFEHLU,31184
LSOIUSXD,QVLMOEYE,1188091
DBWLZWNK,ANWUJOKX,50440
VWMBASNE,XIPPENFQ,102033
XUOIQPFL,OXKURKXR,137989
LUENUFGA,XIFHSOWQ,88623
VBYCLTYZ,BTMOEMEP,12505453
BSRMSVTC,LUENUFGA,3858703
EVBVXETX,WPQXWHYO,12828598
ANWUJOKX,QVLMOEYE,1189779
GIKPEWTY,CCLHWFWF,16194214
WBLJNPZQ,PYZMVUWD,25037
ELQGMQWE,AANGBULD,348494
ELQGMQWE,ZKENOUDA,339658
AHMDUILJ,DUCMGGNW,904609
BSRMSVTC,XUOIQPFL,2870751
KEUWZRKO,XIFHSOWQ,87224
UXSPKBJR,WQMVCOEM,66103
WBLJNPZQ,JPBRUTWP,5701280
HXYSSRXE,BSRMSVTC,279650
WPQXWHYO,RJGPVEXX,595089
