leading_item_id,following_item_id,value
JBVHSUWY,ATLDMDBO,35014962
EVBVXETX,FWUCPMMW,2627
EVBVXETX,AXULOHBQ,64305
PYZMVUWD,APQGTRMF,13894
BTMOEMEP,AXULOHBQ,65031
APQGTRMF,DBWLZWNK,116348
OGAFEHLU,VBYCLTYZ,350158
BSRMSVTC,XIPPENFQ,78214
WBLJNPZQ,OXKURKXR,92054
BTMOEMEP,OXKURKXR,93611
ROACSLMG,AXULOHBQ,63563
RAWUKQMJ,LUENUFGA,3558071
DEWLVASR,RJGPVEXX,576916
UXSPKBJR,AXULOHBQ,66069
KEUWZRKO,FQCLOEXA,1888204
GYHKIVQT,LUENUFGA,3582274
VBYCLTYZ,RJGPVEXX,612255
ZGJXVMNI,ZKENOUDA,299606
SUOYXCHP,PYZMVUWD,1278
PYZMVUWD,QRKRBYJL,2439016
RCBZUSIM,QVLMOEYE,1076159
NZKBIBNU,ZXERAXWP,20398
SUOYXCHP,DNMPSKTB,5046460
ZKENOUDA,FDXPMYGF,2858
WQMVCOEM,FRHNWLNI,903944
QVLMOEYE,BTMOEMEP,10578281
KEUWZRKO,KAGJCHMR,3436
HCDTGMST,LPHPPJUG,1255513
WBLJNPZQ,JPBRUTWP,5434626
PYZMVUWD,SDWAYPIK,5282806
DEWLVASR,ELQGMQWE,480463
RCBZUSIM,EVBVXETX,5186377
RAWUKQMJ,QRKRBYJL,2356931
XUOIQPFL,PYZMVUWD,1199
ZKENOUDA,ELQGMQWE,488115
OGAFEHLU,VWMBASNE,106853
OXKURKXR,SNHYOVBM,348149
NZKBIBNU,KEUWZRKO,298501
FTSVTTSR,ZXERAXWP,24009
WPQXWHYO,FITUEHWN,69921
UIFPPCLR,DBWLZWNK,115805
KAGJCHMR,RJGPVEXX,601858
AANGBULD,VMAQSTJE,17827
EVBVXETX,ATLDMDBO,35349724
ELQGMQWE,RJCAXSGH,4757124
VWMBASNE,BJALXPFS,132442
WPQXWHYO,AANGBULD,303171
DNMPSKTB,OKMBFVKS,1881726
BSRMSVTC,VMAQSTJE,16987
KEUWZRKO,XIPPENFQ,77080
XIPPENFQ,AANGBULD,305059
OXKURKXR,AXULOHBQ,66761
JBVHSUWY,DBWLZWNK,116324
VBYCLTYZ,OKMBFVKS,1909670
APQGTRMF,GYHKIVQT,18421512
UGEQLMXM,BEZYMBBT,3220664
SUOYXCHP,FRHNWLNI,875014
ZKENOUDA,LPHPPJUG,1231130
GKQIJYDH,EVBVXETX,5194532
WPQXWHYO,AXULOHBQ,61254
FQCLOEXA,UQYUIVVR,4656211
KEUWZRKO,RJGPVEXX,569680
LRVGFDFM,BSRMSVTC,172550
FTSVTTSR,RCBZUSIM,12793
SAHWCZNH,LUENUFGA,3547844
MBSBZBXA,ZKENOUDA,283317
UXSPKBJR,HCDTGMST,13733
ATLDMDBO,PYZMVUWD,1104
RJGPVEXX,NZKBIBNU,194902
EVBVXETX,BSRMSVTC,174452
APQGTRMF,AXULOHBQ,65140
FITUEHWN,PYZMVUWD,1281
LRVGFDFM,SDWAYPIK,5101496
LPHPPJUG,KJNSOAHR,10225600
QJQJSWFU,RAWUKQMJ,3890999
VBYCLTYZ,HXYSSRXE,5080309
EVBVXETX,UGEQLMXM,157726
BTMOEMEP,DNMPSKTB,5100871
LRVGFDFM,BTMOEMEP,10190120
XUOIQPFL,DUCMGGNW,666048
ZGJXVMNI,FITUEHWN,74298
SAAYMURU,MBSBZBXA,4747140
QRKRBYJL,APQGTRMF,15407
JPBRUTWP,ZXERAXWP,23939
VBYCLTYZ,ATLDMDBO,36045634
AXULOHBQ,XIPPENFQ,80021
UIFPPCLR,XUOIQPFL,2453507
WHPUAOID,DJBLNPNC,244
ATLDMDBO,JPBRUTWP,5492359
SUOYXCHP,SDWAYPIK,5126472
ELQGMQWE,FQCLOEXA,1847639
SDWAYPIK,BSRMSVTC,170350
VBYCLTYZ,BTMOEMEP,9990220
OGAFEHLU,HXYSSRXE,5239144
JPBRUTWP,DNMPSKTB,5063446
ZGJXVMNI,RAWUKQMJ,3826368
VBYCLTYZ,BSRMSVTC,176842
RJGPVEXX,XIPPENFQ,77361
ZCELVYQU,UGEQLMXM,155493
RJGPVEXX,XUOIQPFL,2459118
LPHPPJUG,WPQXWHYO,10877123
SAHWCZNH,BUZIIBYG,13802136
LPHPPJUG,ELQGMQWE,474697
DUCMGGNW,FITUEHWN,77333
NZKBIBNU,FITUEHWN,71521
KAGJCHMR,FQCLOEXA,1941392
SAAYMURU,XIPPENFQ,79133
EVBVXETX,HXYSSRXE,4934894
