leading_item_id,following_item_id,value
UGEQLMXM,VBYCLTYZ,315596
UIFPPCLR,UXSPKBJR,357657
SDWAYPIK,OGAFEHLU,3
DBWLZWNK,VBYCLTYZ,321143
BTMOEMEP,UXSPKBJR,359559
ATLDMDBO,LRVGFDFM,6856633
DNMPSKTB,LRVGFDFM,6913966
QVLMOEYE,UXSPKBJR,361765
XIFHSOWQ,VWMBASNE,112740
BTMOEMEP,DBWLZWNK,144269
VBYCLTYZ,UXSPKBJR,363267
VBYCLTYZ,IGDVVKUD,7498
APQGTRMF,UIFPPCLR,49753
XIIEJNEE,QVLMOEYE,1010378
OGAFEHLU,DBWLZWNK,134968
WPQXWHYO,RJGPVEXX,482529
DBWLZWNK,QVLMOEYE,1007990
SAHWCZNH,KEUWZRKO,318431
DNMPSKTB,OGAFEHLU,3
LRVGFDFM,OGAFEHLU,4
UIFPPCLR,GYHKIVQT,14931397
WBLJNPZQ,LRVGFDFM,6963154
WBLJNPZQ,ATLDMDBO,37476150
WBLJNPZQ,QRKRBYJL,2311243
LSOIUSXD,VUAFAIYJ,713986
EVBVXETX,WPQXWHYO,10119461
PLMZALFA,LUENUFGA,3488424
MIRCVAMV,CCLHWFWF,12165343
XUOIQPFL,OXKURKXR,112521
LUENUFGA,XIFHSOWQ,57351
LSOIUSXD,QVLMOEYE,1017391
XUOIQPFL,OGAFEHLU,2
GIKPEWTY,CCLHWFWF,12232406
VBYCLTYZ,APQGTRMF,7883
ANWUJOKX,QVLMOEYE,1004555
BSRMSVTC,UIFPPCLR,53630
XUOIQPFL,LRVGFDFM,6957160
BEZYMBBT,DBWLZWNK,136742
ELQGMQWE,RJCAXSGH,4638228
BSRMSVTC,LUENUFGA,3488748
UIFPPCLR,VBYCLTYZ,317412
XIFHSOWQ,SAHWCZNH,2063579
UXSPKBJR,IGDVVKUD,7694
BSRMSVTC,OGAFEHLU,2
XIIEJNEE,ROACSLMG,2121525
QSDCUCLB,OGAFEHLU,2
OGAFEHLU,FCYBOAXC,97464083
HXYSSRXE,RAWUKQMJ,4070724
LRVGFDFM,XUOIQPFL,2462931
HXYSSRXE,JPBRUTWP,5421841
VWMBASNE,XIPPENFQ,106638
ELQGMQWE,AANGBULD,407518
DBWLZWNK,ANWUJOKX,1
ELQGMQWE,ZKENOUDA,321997
VMAQSTJE,PYZMVUWD,1252
LUENUFGA,SAHWCZNH,2053164
KFQSHBNH,RJCAXSGH,4649125
OGAFEHLU,LRVGFDFM,6912022
AXULOHBQ,BJALXPFS,140811
UXSPKBJR,WQMVCOEM,23147
KEUWZRKO,XIFHSOWQ,57823
RJCAXSGH,ELQGMQWE,502061
RJCAXSGH,KFQSHBNH,8640646
APQGTRMF,JPBRUTWP,5401620
BTMOEMEP,RAWUKQMJ,3971179
XIIEJNEE,BUZIIBYG,13710971
EVBVXETX,IGDVVKUD,7644
BTMOEMEP,ANWUJOKX,2
SAHWCZNH,XIFHSOWQ,56512
GKQIJYDH,RJCAXSGH,4779602
WBLJNPZQ,PYZMVUWD,1521
