leading_item_id,following_item_id,value
AANGBULD,VUAFAIYJ,683878
APQGTRMF,VBYCLTYZ,214586
KEUWZRKO,XIFHSOWQ,75815
BJALXPFS,WBLJNPZQ,136819
XIFHSOWQ,VWMBASNE,106796
DEWLVASR,ZCELVYQU,28024
UGEQLMXM,VBYCLTYZ,213917
VWMBASNE,XIPPENFQ,85973
APQGTRMF,UIFPPCLR,59558
OGAFEHLU,QJQJSWFU,132294
ZGJXVMNI,RJGPVEXX,563783
RJCAXSGH,ZKENOUDA,323839
AANGBULD,RJGPVEXX,563550
OGAFEHLU,DBWLZWNK,158220
UXSPKBJR,APQGTRMF,6160
WQMVCOEM,FDXPMYGF,2210
APQGTRMF,RCBZUSIM,13040
OXKURKXR,APQGTRMF,6561
JBVHSUWY,UIFPPCLR,60139
RJCAXSGH,DEWLVASR,331072
QJQJSWFU,VWMBASNE,109039
UIFPPCLR,JBVHSUWY,294678
LSOIUSXD,VUAFAIYJ,686358
FRHNWLNI,VBYCLTYZ,213756
ZKENOUDA,AANGBULD,347395
XIIEJNEE,DBWLZWNK,158141
OGAFEHLU,UIFPPCLR,59669
ZCELVYQU,UGEQLMXM,43286
ZGJXVMNI,VUAFAIYJ,686271
LSOIUSXD,WBLJNPZQ,137467
LSOIUSXD,VWMBASNE,108890
UXSPKBJR,DBWLZWNK,158082
UGEQLMXM,VWMBASNE,109039
OGAFEHLU,UGEQLMXM,43829
LSOIUSXD,AXULOHBQ,72495
VBYCLTYZ,IGDVVKUD,7709
LPHPPJUG,NZKBIBNU,208775
RJGPVEXX,VUAFAIYJ,681963
KEUWZRKO,TANNMIMB,2
AXULOHBQ,WBLJNPZQ,137346
UGEQLMXM,OXKURKXR,103576
UIFPPCLR,APQGTRMF,6566
LPHPPJUG,DEWLVASR,331288
AXULOHBQ,BSRMSVTC,159343
UGEQLMXM,DBWLZWNK,158640
SAHWCZNH,XIFHSOWQ,74272
KEUWZRKO,VWMBASNE,108852
AANGBULD,FTSVTTSR,165918
DBWLZWNK,VBYCLTYZ,213237
FTSVTTSR,ZCELVYQU,28024
ZKENOUDA,DEWLVASR,324726
ZCELVYQU,ELQGMQWE,493418
OGAFEHLU,VWMBASNE,108843
XIFHSOWQ,XIPPENFQ,82374
ZKENOUDA,RJGPVEXX,564057
AXULOHBQ,BJALXPFS,139384
KFQSHBNH,ELQGMQWE,494646
RJCAXSGH,ELQGMQWE,495302
FTSVTTSR,ZKENOUDA,324042
UXSPKBJR,IGDVVKUD,7735
WBLJNPZQ,LSOIUSXD,118984
WQMVCOEM,BJALXPFS,139458
ZCELVYQU,BLANHGYY,7914
UIFPPCLR,VBYCLTYZ,213957
NZKBIBNU,DEWLVASR,330543
WQMVCOEM,AXULOHBQ,72078
KFQSHBNH,ZXERAXWP,25961
LPHPPJUG,ZKENOUDA,323251
NZKBIBNU,RJGPVEXX,563957
DBWLZWNK,APQGTRMF,6602
ZCELVYQU,BJALXPFS,139674
AANGBULD,RUVXNNVA,1
ELQGMQWE,ZXERAXWP,33123
UGEQLMXM,APQGTRMF,6159
UIFPPCLR,WBLJNPZQ,137975
QVLMOEYE,RCBZUSIM,13292
OXKURKXR,ANWUJOKX,2
VUAFAIYJ,FTSVTTSR,165801
NZKBIBNU,JSLXRQOK,1719
OKMBFVKS,UGEQLMXM,43251
FQCLOEXA,ZKENOUDA,323243
BSRMSVTC,JBVHSUWY,293469
FQCLOEXA,DEWLVASR,331288
ZCELVYQU,ZXERAXWP,30327
MIRCVAMV,DBWLZWNK,159982
