leading_item_id,following_item_id,value
ELQGMQWE,KFQSHBNH,9679455
UGEQLMXM,VBYCLTYZ,322261
QVLMOEYE,VBYCLTYZ,316994
UIFPPCLR,UXSPKBJR,497963
DBWLZWNK,VBYCLTYZ,315755
XIFHSOWQ,VWMBASNE,114995
UGEQLMXM,OGAFEHLU,37890
VBYCLTYZ,UXSPKBJR,491457
VMAQSTJE,KEUWZRKO,341095
VWMBASNE,WBLJNPZQ,201940
VBYCLTYZ,IGDVVKUD,21720
SDWAYPIK,OGAFEHLU,36476
BTMOEMEP,UXSPKBJR,492696
DBWLZWNK,QVLMOEYE,1182752
DNMPSKTB,LRVGFDFM,2858833
ATLDMDBO,LRVGFDFM,2858833
WBLJNPZQ,QRKRBYJL,2712193
WBLJNPZQ,ATLDMDBO,31831956
WBLJNPZQ,LRVGFDFM,2738740
UIFPPCLR,GYHKIVQT,20041360
QVLMOEYE,UXSPKBJR,492696
XIIEJNEE,QVLMOEYE,1189527
BTMOEMEP,DBWLZWNK,177650
XIFHSOWQ,SAHWCZNH,2189782
SAHWCZNH,KEUWZRKO,341189
LSOIUSXD,VUAFAIYJ,807791
IGDVVKUD,VBYCLTYZ,316899
APQGTRMF,UIFPPCLR,134721
XIIEJNEE,VBYCLTYZ,322530
JERHKLYW,QKXNTIIB,3732662
MIRCVAMV,CCLHWFWF,16634857
PLMZALFA,LUENUFGA,3944939
ELQGMQWE,FQCLOEXA,2123785
OGAFEHLU,DBWLZWNK,182493
UXSPKBJR,IGDVVKUD,24487
DNMPSKTB,OGAFEHLU,36476
LRVGFDFM,OGAFEHLU,36746
LSOIUSXD,QVLMOEYE,1189258
DBWLZWNK,ANWUJOKX,56367
VWMBASNE,XIPPENFQ,97223
XUOIQPFL,OXKURKXR,135117
LUENUFGA,XIFHSOWQ,93917
VBYCLTYZ,BTMOEMEP,12434283
BSRMSVTC,LUENUFGA,3934197
EVBVXETX,WPQXWHYO,12679987
ANWUJOKX,QVLMOEYE,1190691
GIKPEWTY,CCLHWFWF,16696218
WBLJNPZQ,PYZMVUWD,30363
ELQGMQWE,AANGBULD,335938
ELQGMQWE,ZKENOUDA,342345
AHMDUILJ,DUCMGGNW,940964
BSRMSVTC,XUOIQPFL,3399647
KEUWZRKO,XIFHSOWQ,93917
UXSPKBJR,WQMVCOEM,63280
WBLJNPZQ,JPBRUTWP,5775020
HXYSSRXE,BSRMSVTC,284660
WPQXWHYO,RJGPVEXX,619282
XUOIQPFL,OGAFEHLU,45741
XUOIQPFL,LRVGFDFM,2661400
LPHPPJUG,DDEXPPXU,32773
TANNMIMB,VWMBASNE,118848
KFQSHBNH,RJCAXSGH,4787065
BSRMSVTC,OGAFEHLU,36476
UGEQLMXM,LSOIUSXD,221137
VMAQSTJE,PYZMVUWD,22864
QJQJSWFU,SDWAYPIK,5044162
BSRMSVTC,UIFPPCLR,129632
XIIEJNEE,ROACSLMG,2291372
BSRMSVTC,JBVHSUWY,317512
HXYSSRXE,RAWUKQMJ,3990562
LRVGFDFM,XUOIQPFL,3281282
HXYSSRXE,JPBRUTWP,5599301
OXKURKXR,LTOYKIML,405897
VBYCLTYZ,APQGTRMF,41640
UIFPPCLR,ANWUJOKX,37621
AXULOHBQ,BJALXPFS,143227
APQGTRMF,JPBRUTWP,5670964
QSDCUCLB,OGAFEHLU,37890
KFQSHBNH,ELQGMQWE,611397
RJCAXSGH,ELQGMQWE,611397
RJCAXSGH,KFQSHBNH,9592373
UGEQLMXM,QVLMOEYE,1189258
VBYCLTYZ,BLANHGYY,43623
RJGPVEXX,AANGBULD,335938
BSRMSVTC,XIFHSOWQ,91149
EVBVXETX,IGDVVKUD,25478
SAHWCZNH,XIFHSOWQ,93917
BTMOEMEP,ANWUJOKX,45741
LRVGFDFM,UGEQLMXM,218555
ELQGMQWE,RJCAXSGH,4798138
UGEQLMXM,BTMOEMEP,12491074
LUENUFGA,SAHWCZNH,2184246
XIIEJNEE,BUZIIBYG,16294770
QVLMOEYE,RCBZUSIM,29851
BEZYMBBT,DBWLZWNK,177650
EVBVXETX,KJNSOAHR,18555720
OGAFEHLU,LRVGFDFM,2940020
BJALXPFS,DNMPSKTB,5320662
BTMOEMEP,UGEQLMXM,218285
LRVGFDFM,IGDVVKUD,25747
UIFPPCLR,VBYCLTYZ,322261
BTMOEMEP,RAWUKQMJ,3997782
QSDCUCLB,LRVGFDFM,2979170
BSRMSVTC,VMAQSTJE,56973
LTOYKIML,VUAFAIYJ,802255
VUAFAIYJ,KFQSHBNH,9679455
ROACSLMG,IGDVVKUD,24487
WBLJNPZQ,PLMZALFA,36476
GKQIJYDH,RJCAXSGH,4794015
OGAFEHLU,FCYBOAXC,114983784
ATLDMDBO,UXSPKBJR,492696
FITUEHWN,SAAYMURU,38980
ANWUJOKX,WQMVCOEM,68660
FDXPMYGF,HXYSSRXE,4986982
GKQIJYDH,ZXERAXWP,51320
GYHKIVQT,RCBZUSIM,30000
UGEQLMXM,SDWAYPIK,5044162
RCBZUSIM,ATLDMDBO,31927496
TGOELCAG,KEUWZRKO,341458
FDXPMYGF,BSRMSVTC,289927
JSLXRQOK,NAQIHUKZ,34854
UGEQLMXM,IGDVVKUD,24789
BLANHGYY,AXULOHBQ,103670
BLANHGYY,FDXPMYGF,28967
ZKENOUDA,AANGBULD,335938
OKMBFVKS,UIFPPCLR,132400
JPBRUTWP,APQGTRMF,40227
ATLDMDBO,VBYCLTYZ,316994
DBWLZWNK,APQGTRMF,37459
QRKRBYJL,UIFPPCLR,132400
QRKRBYJL,VBYCLTYZ,316994
JPBRUTWP,VBYCLTYZ,316994
SDWAYPIK,DBWLZWNK,177650
QRKRBYJL,APQGTRMF,40347
KJNSOAHR,RJCAXSGH,4787065
UXSPKBJR,APQGTRMF,40347
CCLHWFWF,LRVGFDFM,2700550
TANNMIMB,KEUWZRKO,347889
OGAFEHLU,VWMBASNE,118848
ANWUJOKX,APQGTRMF,45494
LRVGFDFM,QSDCUCLB,28408
LLHREMKS,ELQGMQWE,610158
NZKBIBNU,FRHNWLNI,810366
JERHKLYW,TANNMIMB,37890
PLMZALFA,OGAFEHLU,37621
AHMDUILJ,UXSPKBJR,495017
OGAFEHLU,UGEQLMXM,218191
WBLJNPZQ,BSRMSVTC,286712
LPHPPJUG,FQCLOEXA,2119662
FDXPMYGF,CCLHWFWF,16657231
XUOIQPFL,DBWLZWNK,177650
LRVGFDFM,DBWLZWNK,177650
ZCELVYQU,KFQSHBNH,9679455
FDXPMYGF,OGAFEHLU,37890
VWMBASNE,LRVGFDFM,2590188
ATLDMDBO,BTMOEMEP,12311855
QVLMOEYE,QRKRBYJL,2706926
ATLDMDBO,WBLJNPZQ,204707
DBWLZWNK,LRVGFDFM,3246757
XUOIQPFL,ANWUJOKX,36476
CCLHWFWF,LSOIUSXD,219724
LUENUFGA,MIRCVAMV,59346
BTMOEMEP,RCBZUSIM,29731
XMKRPGLB,ROACSLMG,2282822
UGEQLMXM,ANWUJOKX,46886
AXULOHBQ,FDXPMYGF,34736
DNMPSKTB,APQGTRMF,43340
DNMPSKTB,DBWLZWNK,177650
SDWAYPIK,VBYCLTYZ,316994
BEZYMBBT,APQGTRMF,43340
EVBVXETX,NZKBIBNU,246213
QVLMOEYE,APQGTRMF,40347
ZGJXVMNI,RJGPVEXX,619282
SDWAYPIK,UIFPPCLR,132400
GYHKIVQT,APQGTRMF,40616
KAGJCHMR,GKQIJYDH,4414673
BTMOEMEP,WQMVCOEM,63662
IGDVVKUD,ROACSLMG,2287181
BTMOEMEP,XIIEJNEE,67848
OJIFIHMZ,FTSVTTSR,388023
DEWLVASR,ZCELVYQU,156322
APQGTRMF,RCBZUSIM,30875
OGAFEHLU,UIFPPCLR,134899
WBLJNPZQ,OGAFEHLU,45741
BSRMSVTC,PLMZALFA,36476
RJCAXSGH,ZKENOUDA,342345
BUZIIBYG,FRHNWLNI,810096
ROACSLMG,BTMOEMEP,12443460
AANGBULD,VUAFAIYJ,804504
RCBZUSIM,BSRMSVTC,290196
FCYBOAXC,VUAFAIYJ,802255
QVLMOEYE,OKMBFVKS,1629362
GYHKIVQT,QRKRBYJL,2707195
QRKRBYJL,UXSPKBJR,492965
WPQXWHYO,NZKBIBNU,246213
HXYSSRXE,KEUWZRKO,341189
LUENUFGA,VWMBASNE,112739
FRHNWLNI,UIFPPCLR,132400
PLMZALFA,QSDCUCLB,32320
SAAYMURU,MBSBZBXA,5434090
EVBVXETX,FRHNWLNI,810096
AXULOHBQ,VMAQSTJE,59229
XUOIQPFL,QSDCUCLB,31175
HXYSSRXE,PYZMVUWD,24487
UGEQLMXM,DBWLZWNK,179064
OXKURKXR,JSLXRQOK,25632
VBYCLTYZ,DJBLNPNC,20682
FRHNWLNI,DUCMGGNW,935697
VWMBASNE,MIRCVAMV,59346
SNHYOVBM,DJBLNPNC,23719
RJGPVEXX,VUAFAIYJ,802255
ZKENOUDA,MBSBZBXA,5245343
UXSPKBJR,LRVGFDFM,2882577
CCLHWFWF,OGAFEHLU,36476
KFQSHBNH,ZKENOUDA,342345
QRKRBYJL,FRHNWLNI,810096
VWMBASNE,CCLHWFWF,16568760
ANWUJOKX,HXYSSRXE,5015222
VUAFAIYJ,CCLHWFWF,16527354
GYHKIVQT,QVLMOEYE,1184260
QRKRBYJL,OGAFEHLU,36476
KEUWZRKO,SAHWCZNH,2188368
XIIEJNEE,BTMOEMEP,12481433
BSRMSVTC,JPBRUTWP,5775289
QSDCUCLB,VBYCLTYZ,319243
IGDVVKUD,UXSPKBJR,492601
WBLJNPZQ,CCLHWFWF,16496656
ANWUJOKX,RAWUKQMJ,3997262
AANGBULD,NAQIHUKZ,34854
LRVGFDFM,XIIEJNEE,68118
DNMPSKTB,XIIEJNEE,67848
KEUWZRKO,TANNMIMB,36476
JPBRUTWP,WBLJNPZQ,204707
QSDCUCLB,SDWAYPIK,5064965
