leading_item_id,following_item_id,value
ELQGMQWE,KFQSHBNH,10616595
UGEQLMXM,VBYCLTYZ,307764
QVLMOEYE,VBYCLTYZ,307347
UIFPPCLR,UXSPKBJR,451630
DBWLZWNK,VBYCLTYZ,307752
XIFHSOWQ,VWMBASNE,126142
UGEQLMXM,OGAFEHLU,34557
VBYCLTYZ,UXSPKBJR,452023
VMAQSTJE,KEUWZRKO,333681
VWMBASNE,WBLJNPZQ,182878
VBYCLTYZ,IGDVVKUD,16462
SDWAYPIK,OGAFEHLU,34557
BTMOEMEP,UXSPKBJR,452023
DBWLZWNK,QVLMOEYE,1223800
DNMPSKTB,LRVGFDFM,2927639
ATLDMDBO,LRVGFDFM,2927639
WBLJNPZQ,QRKRBYJL,2958886
WBLJNPZQ,ATLDMDBO,36488752
WBLJNPZQ,LRVGFDFM,2864642
UIFPPCLR,GYHKIVQT,21171584
QVLMOEYE,UXSPKBJR,452023
XIIEJNEE,QVLMOEYE,1223408
BTMOEMEP,DBWLZWNK,175775
XIFHSOWQ,SAHWCZNH,2162525
SAHWCZNH,KEUWZRKO,320993
LSOIUSXD,VUAFAIYJ,753030
IGDVVKUD,VBYCLTYZ,310279
APQGTRMF,UIFPPCLR,90140
XIIEJNEE,VBYCLTYZ,310038
JERHKLYW,QKXNTIIB,3216969
MIRCVAMV,CCLHWFWF,14367715
PLMZALFA,LUENUFGA,3939140
ELQGMQWE,FQCLOEXA,2022360
OGAFEHLU,DBWLZWNK,177661
UXSPKBJR,IGDVVKUD,17124
DNMPSKTB,OGAFEHLU,34557
LRVGFDFM,OGAFEHLU,34557
LSOIUSXD,QVLMOEYE,1223408
DBWLZWNK,ANWUJOKX,41109
VWMBASNE,XIPPENFQ,101993
XUOIQPFL,OXKURKXR,126453
LUENUFGA,XIFHSOWQ,93144
VBYCLTYZ,BTMOEMEP,11314842
BSRMSVTC,LUENUFGA,3926238
EVBVXETX,WPQXWHYO,10436219
ANWUJOKX,QVLMOEYE,1225686
GIKPEWTY,CCLHWFWF,14373717
WBLJNPZQ,PYZMVUWD,18558
ELQGMQWE,AANGBULD,320149
ELQGMQWE,ZKENOUDA,329782
AHMDUILJ,DUCMGGNW,994650
BSRMSVTC,XUOIQPFL,2880662
KEUWZRKO,XIFHSOWQ,93549
UXSPKBJR,WQMVCOEM,66407
WBLJNPZQ,JPBRUTWP,5027332
HXYSSRXE,BSRMSVTC,253581
WPQXWHYO,RJGPVEXX,619318
XUOIQPFL,OGAFEHLU,41109
XUOIQPFL,LRVGFDFM,2860533
LPHPPJUG,DDEXPPXU,19413
TANNMIMB,VWMBASNE,127611
KFQSHBNH,RJCAXSGH,4794640
BSRMSVTC,OGAFEHLU,34557
UGEQLMXM,LSOIUSXD,212589
VMAQSTJE,PYZMVUWD,16474
QJQJSWFU,SDWAYPIK,5132709
BSRMSVTC,UIFPPCLR,90128
XIIEJNEE,ROACSLMG,2353412
BSRMSVTC,JBVHSUWY,300849
HXYSSRXE,RAWUKQMJ,3870437
LRVGFDFM,XUOIQPFL,2867986
HXYSSRXE,JPBRUTWP,4998664
OXKURKXR,LTOYKIML,425287
VBYCLTYZ,APQGTRMF,51264
UIFPPCLR,ANWUJOKX,34569
AXULOHBQ,BJALXPFS,137179
APQGTRMF,JPBRUTWP,4999094
QSDCUCLB,OGAFEHLU,34569
KFQSHBNH,ELQGMQWE,566348
RJCAXSGH,ELQGMQWE,566348
RJCAXSGH,KFQSHBNH,10617000
UGEQLMXM,QVLMOEYE,1223812
VBYCLTYZ,BLANHGYY,39750
RJGPVEXX,AANGBULD,320149
BSRMSVTC,XIFHSOWQ,93144
EVBVXETX,IGDVVKUD,18546
SAHWCZNH,XIFHSOWQ,93549
BTMOEMEP,ANWUJOKX,41109
LRVGFDFM,UGEQLMXM,215769
ELQGMQWE,RJCAXSGH,4794235
UGEQLMXM,BTMOEMEP,11318951
LUENUFGA,SAHWCZNH,2162513
XIIEJNEE,BUZIIBYG,16244898
QVLMOEYE,RCBZUSIM,37718
BEZYMBBT,DBWLZWNK,175371
EVBVXETX,KJNSOAHR,11912038
OGAFEHLU,LRVGFDFM,2951401
BJALXPFS,DNMPSKTB,5336037
BTMOEMEP,UGEQLMXM,215769
LRVGFDFM,IGDVVKUD,18546
UIFPPCLR,VBYCLTYZ,307359
BTMOEMEP,RAWUKQMJ,3870032
QSDCUCLB,LRVGFDFM,2951401
BSRMSVTC,VMAQSTJE,53368
LTOYKIML,VUAFAIYJ,753018
VUAFAIYJ,KFQSHBNH,10616595
ROACSLMG,IGDVVKUD,16462
WBLJNPZQ,PLMZALFA,34557
GKQIJYDH,RJCAXSGH,4794235
OGAFEHLU,FCYBOAXC,112370656
ATLDMDBO,UXSPKBJR,452023
FITUEHWN,SAAYMURU,51932
ANWUJOKX,WQMVCOEM,64825
FDXPMYGF,HXYSSRXE,4819194
GKQIJYDH,ZXERAXWP,51920
GYHKIVQT,RCBZUSIM,36407
UGEQLMXM,SDWAYPIK,5132709
RCBZUSIM,ATLDMDBO,36488752
TGOELCAG,KEUWZRKO,333669
FDXPMYGF,BSRMSVTC,254083
JSLXRQOK,NAQIHUKZ,34569
UGEQLMXM,IGDVVKUD,16474
BLANHGYY,AXULOHBQ,88603
BLANHGYY,FDXPMYGF,35043
ZKENOUDA,AANGBULD,320149
OKMBFVKS,UIFPPCLR,90533
JPBRUTWP,APQGTRMF,51264
ATLDMDBO,VBYCLTYZ,307752
DBWLZWNK,APQGTRMF,51264
QRKRBYJL,UIFPPCLR,90533
QRKRBYJL,VBYCLTYZ,307752
JPBRUTWP,VBYCLTYZ,307752
SDWAYPIK,DBWLZWNK,175775
QRKRBYJL,APQGTRMF,51871
KJNSOAHR,RJCAXSGH,4794640
UXSPKBJR,APQGTRMF,51871
CCLHWFWF,LRVGFDFM,2860533
TANNMIMB,KEUWZRKO,322474
OGAFEHLU,VWMBASNE,128016
ANWUJOKX,APQGTRMF,51766
LRVGFDFM,QSDCUCLB,39406
LLHREMKS,ELQGMQWE,579023
NZKBIBNU,FRHNWLNI,785494
JERHKLYW,TANNMIMB,34569
PLMZALFA,OGAFEHLU,34569
AHMDUILJ,UXSPKBJR,464711
OGAFEHLU,UGEQLMXM,217250
WBLJNPZQ,BSRMSVTC,253593
LPHPPJUG,FQCLOEXA,2022360
FDXPMYGF,CCLHWFWF,14367715
XUOIQPFL,DBWLZWNK,175775
LRVGFDFM,DBWLZWNK,175775
ZCELVYQU,KFQSHBNH,10616595
FDXPMYGF,OGAFEHLU,34569
VWMBASNE,LRVGFDFM,2860533
ATLDMDBO,BTMOEMEP,11118619
QVLMOEYE,QRKRBYJL,2958469
ATLDMDBO,WBLJNPZQ,183282
DBWLZWNK,LRVGFDFM,3479991
XUOIQPFL,ANWUJOKX,34557
CCLHWFWF,LSOIUSXD,209910
LUENUFGA,MIRCVAMV,65646
BTMOEMEP,RCBZUSIM,36407
XMKRPGLB,ROACSLMG,2353400
UGEQLMXM,ANWUJOKX,41121
AXULOHBQ,FDXPMYGF,37025
DNMPSKTB,APQGTRMF,51871
DNMPSKTB,DBWLZWNK,175775
SDWAYPIK,VBYCLTYZ,307752
BEZYMBBT,APQGTRMF,51871
EVBVXETX,NZKBIBNU,295270
QVLMOEYE,APQGTRMF,51871
ZGJXVMNI,RJGPVEXX,619723
SDWAYPIK,UIFPPCLR,90533
GYHKIVQT,APQGTRMF,51871
KAGJCHMR,GKQIJYDH,5633674
BTMOEMEP,WQMVCOEM,64323
IGDVVKUD,ROACSLMG,2386262
BTMOEMEP,XIIEJNEE,54070
OJIFIHMZ,FTSVTTSR,599112
DEWLVASR,ZCELVYQU,137761
APQGTRMF,RCBZUSIM,36418
OGAFEHLU,UIFPPCLR,92014
WBLJNPZQ,OGAFEHLU,41109
BSRMSVTC,PLMZALFA,34557
RJCAXSGH,ZKENOUDA,329782
BUZIIBYG,FRHNWLNI,785090
ROACSLMG,BTMOEMEP,11298032
AANGBULD,VUAFAIYJ,754904
RCBZUSIM,BSRMSVTC,250914
FCYBOAXC,VUAFAIYJ,752613
QVLMOEYE,OKMBFVKS,1623869
GYHKIVQT,QRKRBYJL,2958469
QRKRBYJL,UXSPKBJR,452023
WPQXWHYO,NZKBIBNU,295270
HXYSSRXE,KEUWZRKO,320993
LUENUFGA,VWMBASNE,126130
FRHNWLNI,UIFPPCLR,90128
PLMZALFA,QSDCUCLB,39418
SAAYMURU,MBSBZBXA,5423872
EVBVXETX,FRHNWLNI,785494
AXULOHBQ,VMAQSTJE,53380
XUOIQPFL,QSDCUCLB,39406
HXYSSRXE,PYZMVUWD,16462
UGEQLMXM,DBWLZWNK,175775
OXKURKXR,JSLXRQOK,16474
VBYCLTYZ,DJBLNPNC,16288
FRHNWLNI,DUCMGGNW,981557
VWMBASNE,MIRCVAMV,65646
SNHYOVBM,DJBLNPNC,16288
RJGPVEXX,VUAFAIYJ,752613
ZKENOUDA,MBSBZBXA,5393338
UXSPKBJR,LRVGFDFM,2927639
CCLHWFWF,OGAFEHLU,34557
KFQSHBNH,ZKENOUDA,329782
QRKRBYJL,FRHNWLNI,785494
VWMBASNE,CCLHWFWF,14323782
ANWUJOKX,HXYSSRXE,4831416
VUAFAIYJ,CCLHWFWF,14319673
GYHKIVQT,QVLMOEYE,1223800
QRKRBYJL,OGAFEHLU,35220
KEUWZRKO,SAHWCZNH,2162513
XIIEJNEE,BTMOEMEP,11466373
BSRMSVTC,JPBRUTWP,5027332
