leading_item_id,following_item_id,value
FDXPMYGF,LUENUFGA,3433848
DNMPSKTB,QVLMOEYE,1027460
XUOIQPFL,SDWAYPIK,5199516
DNMPSKTB,ATLDMDBO,34241824
IGDVVKUD,HXYSSRXE,4443597
WBLJNPZQ,CCLHWFWF,11533660
SDWAYPIK,XUOIQPFL,2413322
FWUCPMMW,LLHREMKS,34952
VWMBASNE,CCLHWFWF,11556237
RUVXNNVA,ZXERAXWP,11747
VUAFAIYJ,LSOIUSXD,111503
QVLMOEYE,DNMPSKTB,5176395
BLANHGYY,VMAQSTJE,24539
CCLHWFWF,VUAFAIYJ,614196
UGEQLMXM,BTMOEMEP,8886153
NAQIHUKZ,GKQIJYDH,4468236
ELQGMQWE,FQCLOEXA,1599483
ZXERAXWP,WHPUAOID,13950
BTMOEMEP,ATLDMDBO,34336723
FDXPMYGF,OGAFEHLU,4
JPBRUTWP,GYHKIVQT,12620781
BLANHGYY,WPQXWHYO,10612928
IGDVVKUD,AXULOHBQ,71048
DNMPSKTB,SDWAYPIK,5217874
QSDCUCLB,QVLMOEYE,996545
ATLDMDBO,ANWUJOKX,4
BTMOEMEP,RCBZUSIM,7708
DNMPSKTB,VWMBASNE,121326
EVBVXETX,ATLDMDBO,34489292
HXYSSRXE,VWMBASNE,121246
KAGJCHMR,LTOYKIML,281833
DEWLVASR,ZKENOUDA,308305
XUOIQPFL,QVLMOEYE,1031185
FWUCPMMW,BSRMSVTC,170851
SDWAYPIK,DUCMGGNW,618740
XIIEJNEE,IGDVVKUD,3282
UGEQLMXM,DJBLNPNC,78
UGEQLMXM,VBYCLTYZ,379890
ROACSLMG,HXYSSRXE,4658197
QSDCUCLB,RCBZUSIM,8770
ZCELVYQU,BJALXPFS,148021
APQGTRMF,DUCMGGNW,623415
QSDCUCLB,ATLDMDBO,34603324
VUAFAIYJ,LRVGFDFM,5960445
BEZYMBBT,HXYSSRXE,4660806
WBLJNPZQ,LPHPPJUG,1285475
AANGBULD,GKQIJYDH,4610826
DEWLVASR,VMAQSTJE,27690
CCLHWFWF,WHPUAOID,13982
DEWLVASR,ZXERAXWP,10562
QSDCUCLB,QRKRBYJL,2430932
RAWUKQMJ,WPQXWHYO,10750211
IGDVVKUD,SUOYXCHP,183
BTMOEMEP,GYHKIVQT,12735315
LLHREMKS,ZCELVYQU,10170
LSOIUSXD,DUCMGGNW,620928
GYHKIVQT,WPQXWHYO,10739103
VBYCLTYZ,LPHPPJUG,1235701
VBYCLTYZ,BLANHGYY,2400
DNMPSKTB,OKMBFVKS,1691551
FTSVTTSR,GKQIJYDH,4780730
ATLDMDBO,JPBRUTWP,5373192
QVLMOEYE,XUOIQPFL,2411554
ZCELVYQU,BLANHGYY,2363
FDXPMYGF,QSDCUCLB,1
NZKBIBNU,LUENUFGA,3846410
GYHKIVQT,SDWAYPIK,5215849
JBVHSUWY,ELQGMQWE,489514
QRKRBYJL,FQCLOEXA,1788360
DJBLNPNC,FDXPMYGF,3050
AXULOHBQ,OGAFEHLU,4
OJIFIHMZ,SNHYOVBM,358366
XUOIQPFL,UGEQLMXM,102477
SDWAYPIK,WQMVCOEM,5497
